Word  |  Frequency  |  Frequency (%)
сме  |  84  |  0.0348077%
такой  |  84  |  0.0348077%
уж  |  84  |  0.0348077%
Павловна  |  83  |  0.0343933%
голосом  |  83  |  0.0343933%
государь  |  83  |  0.0343933%
комнате  |  83  |  0.0343933%
одна  |  83  |  0.0343933%
представл  |  83  |  0.0343933%
сделал  |  83  |  0.0343933%
собой  |  83  |  0.0343933%
те  |  83  |  0.0343933%
всю  |  82  |  0.0339789%
дверь  |  82  |  0.0339789%
лась  |  82  |  0.0339789%
лись  |  82  |  0.0339789%
несмотр  |  82  |  0.0339789%
сидел  |  82  |  0.0339789%
чувствовал  |  82  |  0.0339789%
un  |  81  |  0.0335646%
Граф  |  81  |  0.0335646%
Москве  |  81  |  0.0335646%
проговорил  |  81  |  0.0335646%
против  |  81  |  0.0335646%
хот  |  81  |  0.0335646%
Денисова  |  80  |  0.0331502%
закричал  |  80  |  0.0331502%
сына  |  80  |  0.0331502%
одной  |  79  |  0.0327358%
своему  |  79  |  0.0327358%
своими  |  79  |  0.0327358%
лицом  |  78  |  0.0323214%
тотчас  |  78  |  0.0323214%
давно  |  77  |  0.031907%
дес  |  77  |  0.031907%
знаете  |  77  |  0.031907%
почти  |  77  |  0.031907%
пошел  |  77  |  0.031907%
времени  |  76  |  0.0314927%
какой  |  76  |  0.0314927%
кроме  |  76  |  0.0314927%
можно  |  76  |  0.0314927%
обраща  |  76  |  0.0314927%
старый  |  76  |  0.0314927%
три  |  76  |  0.0314927%
тьс  |  76  |  0.0314927%
il  |  75  |  0.0310783%
Андрею  |  75  |  0.0310783%
Наташи  |  75  |  0.0310783%
Ростовых  |  75  |  0.0310783%
весело  |  75  |  0.0310783%
си  |  75  |  0.0310783%
me  |  74  |  0.0306639%
выражение  |  74  |  0.0306639%
генерал  |  74  |  0.0306639%
таким  |  74  |  0.0306639%
Дмитриевна  |  73  |  0.0302495%
глаз  |  73  |  0.0302495%
думала  |  73  |  0.0302495%
милый  |  73  |  0.0302495%
остановилс  |  73  |  0.0302495%
сно  |  73  |  0.0302495%
une  |  72  |  0.0298352%
Багратион  |  72  |  0.0298352%
вошел  |  72  |  0.0298352%
молодой  |  72  |  0.0298352%
ce  |  71  |  0.0294208%
nous  |  71  |  0.0294208%
Ростову  |  71  |  0.0294208%
бо  |  71  |  0.0294208%
жны  |  71  |  0.0294208%
люблю  |  71  |  0.0294208%
поехал  |  71  |  0.0294208%
сама  |  71  |  0.0294208%
Болконский  |  70  |  0.0290064%
двух  |  70  |  0.0290064%
ехать  |  70  |  0.0290064%
ко  |  70  |  0.0290064%
лучше  |  70  |  0.0290064%
подле  |  70  |  0.0290064%
руками  |  70  |  0.0290064%
сейчас  |  70  |  0.0290064%
ти  |  70  |  0.0290064%
Наташе  |  69  |  0.028592%
армии  |  69  |  0.028592%
быстро  |  69  |  0.028592%
отец  |  69  |  0.028592%
стали  |  69  |  0.028592%
сын  |  69  |  0.028592%
pour  |  68  |  0.0281777%
Бориса  |  68  |  0.0281777%
Наташу  |  68  |  0.0281777%
дн  |  68  |  0.0281777%
доме  |  68  |  0.0281777%
других  |  68  |  0.0281777%
нам  |  68  |  0.0281777%
голоса  |  67  |  0.0277633%
другие  |  67  |  0.0277633%
знает  |  67  |  0.0277633%
никто  |  67  |  0.0277633%
qui  |  66  |  0.0273489%
Долохова  |  66  |  0.0273489%
Мне  |  66  |  0.0273489%
войска  |  66  |  0.0273489%
куда  |  66  |  0.0273489%
нынче  |  66  |  0.0273489%
улыбнулс  |  66  |  0.0273489%
Только  |  65  |  0.0269345%
гостиной  |  65  |  0.0269345%
знать  |  65  |  0.0269345%
мимо  |  65  |  0.0269345%
слово  |  65  |  0.0269345%
en  |  64  |  0.0265201%
вид  |  64  |  0.0265201%
минуты  |  64  |  0.0265201%
слишком  |  64  |  0.0265201%
увидал  |  64  |  0.0265201%
крикнул  |  63  |  0.0261058%
лошади  |  63  |  0.0261058%
des  |  62  |  0.0256914%
Теперь  |  62  |  0.0256914%
У  |  62  |  0.0256914%
буду  |  62  |  0.0256914%
говорит  |  62  |  0.0256914%
думаю  |  62  |  0.0256914%
ло  |  62  |  0.0256914%
молча  |  62  |  0.0256914%
Берг  |  61  |  0.025277%
весь  |  61  |  0.025277%
видно  |  61  |  0.025277%
впереди  |  61  |  0.025277%
должно  |  61  |  0.025277%
место  |  61  |  0.025277%
прибавил  |  61  |  0.025277%
Андреич  |  60  |  0.0248626%
любви  |  60  |  0.0248626%
Бог  |  59  |  0.0244483%
Ведь  |  59  |  0.0244483%
Марьи  |  59  |  0.0244483%
О  |  59  |  0.0244483%
выражением  |  59  |  0.0244483%
головой  |  59  |  0.0244483%
мать  |  59  |  0.0244483%
н  |  59  |  0.0244483%
ну  |  59  |  0.0244483%
стала  |  59  |  0.0244483%
стороны  |  59  |  0.0244483%
t  |  58  |  0.0240339%
Кутузова  |  58  |  0.0240339%
видом  |  58  |  0.0240339%
матери  |  58  |  0.0240339%
ноги  |  58  |  0.0240339%
стара  |  58  |  0.0240339%
французов  |  58  |  0.0240339%
часто  |  58  |  0.0240339%
Анатол  |  57  |  0.0236195%
После  |  57  |  0.0236195%
гор  |  57  |  0.0236195%
жело  |  57  |  0.0236195%
императора  |  57  |  0.0236195%
нно  |  57  |  0.0236195%
около  |  57  |  0.0236195%
указыва  |  57  |  0.0236195%
года  |  56  |  0.0232051%
каждый  |  56  |  0.0232051%
начал  |  56  |  0.0232051%
нулс  |  56  |  0.0232051%
таки  |  56  |  0.0232051%
c  |  55  |  0.0227907%
Ему  |  55  |  0.0227907%
Жюли  |  55  |  0.0227907%
всей  |  55  |  0.0227907%
